#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-08T09:52:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-08T09:52:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/682/A145/catalog&-order=I&-out=HIP&-out=HD&-out=Name&-out=GaiaDR3&-out=RA_ICRS&-out=DE_ICRS&-out=ThetaLD&-out=Indirect&-out=GBSV1&-out=GBSV2&-out=Plx&-out=o_Plx&-out=Av&-out=FbolAv0&-out=Fbol&-out=Teff&-out=Lum&-out=Rad&-out=MassB&-out=MassS&-out=logg&-out=[Fe/H]&-out=Dnu&-out=numax&-out=loggSeis&-out=RadSeis&-out=MassSeis&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36820145
#Name: J/A+A/682/A145
#Title: Gaia FGK benchmark stars v3 (Soubiran+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/682/a145	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2024A&A...682A.145S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/682/A145	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36820145	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-01-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_A_A_682_A145_catalog:
#Name: J/A+A/682/A145/catalog
#Title: Parameters of the stars (corrected version, 04/12/2024, from erratum, 2025A&A...693C...3S)
#Column	HIP	(A9)	HIP name (HIPNNNNNN)	[ucd=meta.id;meta.main]
#Column	HD	(A8)	HD name (HDNNNNNN)	[ucd=meta.id]
#Column	Name	(a13)	Other name	[ucd=meta.id]
#Column	GaiaDR3	(I19)	? Gaia DR3 Source identifier	[ucd=meta.id]
#Column	RA_ICRS	(F8.4)	Right Ascension (ICRS) at Ep=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F8.4)	Declination (ICRS) at Ep=J2000	[ucd=pos.eq.dec;meta.main]
#Column	ThetaLD	(F6.3)	Limb darkened angular diameter	[ucd=phys.angSize]
#Column	Indirect	(I1)	[1]? 1 = indirect measurement of ThetaLD	[ucd=meta.code]
#Column	GBSV1	(I1)	[1]? 1 = GBS present in V1, Heiter et al., 2015A&A...582A..49H	[ucd=meta.code]
#Column	GBSV2	(I1)	[1]? 1 = GBS present in V2, Jofre et al., 2018RNAAS...2..152J, Cat. III/281	[ucd=meta.code]
#Column	Plx	(F6.2)	Parallax	[ucd=pos.parallax]
#Column	o_Plx	(A1)	[GHA] Origin for the parallax (1)	[ucd=meta.number]
#Column	Av	(F6.3)	Extinction in V band	[ucd=phys.absorption]
#Column	FbolAv0	(F8.3)	? Bolometric flux 0 extinction	[ucd=phot.flux.bol]
#Column	Fbol	(F8.3)	Bolometric flux	[ucd=phot.flux.bol]
#Column	Teff	(I4)	Fundamental effective temperature	[ucd=phys.temperature.effective]
#Column	Lum	(F8.3)	Luminosity	[ucd=phys.luminosity]
#Column	Rad	(F7.3)	Linear radius	[ucd=phys.size.radius]
#Column	MassB	(F6.3)	Mass from BaSTI	[ucd=phys.mass]
#Column	MassS	(F6.3)	Mass from STAREVOL	[ucd=phys.mass]
#Column	logg	(F5.2)	Logarithm of surface gravity Newton law	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Metallicity from literature	[ucd=phys.abund.Z]
#Column	Dnu	(F6.2)	? Large frequency separation	[ucd=em.freq;src.var]
#Column	numax	(F6.1)	? Frequency of maximum oscillation power	[ucd=em.freq;stat.max]
#Column	loggSeis	(F5.2)	? Seismic logg	[ucd=phys.gravity]
#Column	RadSeis	(F6.3)	? Seismic radius	[ucd=phys.size.radius]
#Column	MassSeis	(F6.3)	? Seismic mass	[ucd=phys.mass]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
HIP	HD	Name	GaiaDR3	RA_ICRS	DE_ICRS	ThetaLD	Indirect	GBSV1	GBSV2	Plx	o_Plx	Av	FbolAv0	Fbol	Teff	Lum	Rad	MassB	MassS	logg	[Fe/H]	Dnu	numax	loggSeis	RadSeis	MassSeis	Simbad
HIP8837  	HD11695 	* psi Phe    	4942522955488925696	028.4108	-46.3031	 8.130	 	1	 	  9.75	G	 0.021	        	 281.045	3362	 924.072	 89.652	 0.769	 0.842	 0.44	-1.24	      	      	     	      	      	Simbad
HIP89047 	HD167042	             	2149564787289902848	272.6318	+54.2866	 0.831	 	 	 	 20.13	G	 0.020	  14.213	  14.227	4987	  10.974	  4.438	 1.434	 2.351	 3.41	 0.04	 17.17	 249.2	 3.30	 4.548	 1.412	Simbad
HIP8928  	HD11977 	* eta02 Hyi  	4697508196671120000	028.7339	-67.6473	 1.528	 	 	 	 14.74	G	 0.016	  44.618	  44.435	4890	  63.925	 11.145	 1.514	 2.277	 2.61	-0.15	      	      	     	      	      	Simbad
HIP89348 	HD168151	*  36 Dra    	2161275788716592256	273.4743	+64.3973	 0.664	 	 	 	 43.18	G	 0.014	  27.368	  27.332	6569	   4.582	  1.653	 1.243	 1.185	 4.09	-0.29	      	      	     	      	      	Simbad
HIP89962 	HD168723	* eta Ser    	4269932382607207040	275.3275	-02.8988	 3.062	 	 	 	 52.44	G	 0.015	 166.727	 165.814	4801	  18.847	  6.278	 1.006	 1.411	 2.92	-0.20	 10.10	 125.0	 2.99	 6.468	 1.383	Simbad
HIP90344 	HD170693	*  42 Dra    	2256800156349110528	276.4964	+65.5635	 2.041	 	 	 	 11.06	G	 0.029	  50.502	  50.423	4367	 128.841	 19.841	 0.893	 1.197	 1.86	-0.45	  1.57	  10.0	 1.88	20.401	 1.055	Simbad
HIP9094  	HD11964 	             	2462426800883134336	029.2900	-10.2424	 0.607	 	 	 	 29.82	G	 0.010	   8.165	   8.179	5082	   2.875	  2.189	 1.124	 1.596	 3.88	 0.11	      	      	     	      	      	Simbad
HIP91949 	HD173701	             	2117279002732678656	281.1463	+43.8333	 0.332	 	 	 	 37.01	G	 0.019	   2.923	   2.928	5315	   0.668	  0.964	 0.904	 0.971	 4.44	 0.30	149.20	3574.7	 4.47	 0.892	 1.094	Simbad
HIP92043 	HD173667	* 110 Her    	4530744134231683840	281.4155	+20.5463	 1.000	 	 	 	 51.67	G	 0.011	  57.066	  56.758	6426	   6.645	  2.081	 1.452	 1.394	 3.95	-0.04	      	      	     	      	      	Simbad
HIP92167 	HD175305	             	2268048503896398720	281.7768	+74.7254	 0.484	 	 	1	  6.41	G	 0.035	   4.490	   4.503	4902	  34.258	  8.118	 0.795	 0.846	 2.53	-1.45	  5.86	  52.2	 2.62	 8.107	 1.007	Simbad
HIP92512 	HD175306	* omi Dra    	2156134953382133632	282.8004	+59.3883	 2.189	 	 	 	  9.57	G	 0.052	  63.334	  63.357	4464	 216.225	 24.593	 1.109	 1.588	 1.78	-0.53	      	   6.6	 1.70	      	      	Simbad
HIP92984 	HD175726	             	4281201414717499520	284.1549	+04.2651	 0.346	 	 	 	 37.65	G	 0.023	   5.408	   5.411	6070	   1.193	  0.988	 1.069	 1.081	 4.48	-0.04	 97.20	1915.0	 4.23	 1.203	 0.499	Simbad
HIP93427 	HD177153	             	2103877089862772352	285.4153	+41.4901	 0.289	 	 	 	 24.18	G	 0.025	   3.620	   3.642	6016	   1.947	  1.285	 1.040	 1.057	 4.24	-0.05	103.90	2248.6	 4.30	 1.231	 1.255	Simbad
HIP93429 	HD176678	* 12 Aql     	4254220979971917056	285.4201	-05.7391	 2.463	 	 	 	 21.57	G	 0.033	  84.131	  82.189	4491	  55.214	 12.277	 1.085	 1.185	 2.31	-0.08	      	      	     	      	      	Simbad
HIP9440  	HD12438 	* pi. For    	5020586872310485632	030.3113	-30.0018	 1.091	 	 	 	 11.27	G	 0.016	  23.877	  23.864	4954	  58.725	 10.408	 1.425	 0.890	 2.45	-0.58	      	      	     	      	      	Simbad
HIP94755 	HD181096	             	2127789646700855040	289.2141	+46.9991	 0.443	 	 	 	 23.82	G	 0.022	  10.858	  10.893	6390	   6.001	  2.000	 1.297	 1.241	 3.94	-0.25	 53.92	 960.0	 3.94	 2.011	 1.273	Simbad
HIP95362 	HD182736	             	2126261703496964096	291.0141	+44.9335	 0.436	 	 	 	 17.31	G	 0.026	   4.863	   4.876	5268	   5.086	  2.708	 1.339	 1.871	 3.77	-0.11	 34.70	 566.9	 3.67	 2.603	 1.310	Simbad
HIP95447 	HD182572	* b Aql      	4315804351350378496	291.2425	+11.9444	 0.845	 	 	 	 67.02	G	 0.008	  24.738	  24.629	5673	   1.714	  1.356	 1.068	 1.134	 4.22	 0.38	      	      	     	      	      	Simbad
HIP96014 	HD184293	             	2135864391374790784	292.8305	+50.3067	 1.548	 	 	 	  7.10	G	 0.036	  28.129	  28.205	4336	 174.886	 23.442	 0.992	 1.574	 1.79	-0.35	      	      	     	      	      	Simbad
HIP96100 	HD185144	* sig Dra    	2261614264931057664	293.0900	+69.6612	 1.254	 	 	 	173.49	G	 0.000	  41.275	  40.976	5289	   0.426	  0.777	 0.777	 0.808	 4.56	-0.21	      	      	     	      	      	Simbad
HIP96441 	HD185395	* tet Cyg    	2135110401277424384	294.1106	+50.2211	 0.749	 	 	 	 54.27	G	 0.013	  42.774	  42.693	6914	   4.531	  1.484	 1.389	 1.394	 4.24	-0.03	 83.90	1829.0	 4.24	 1.646	 1.260	Simbad
HIP96837 	HD185958	* bet Sge    	1823991938314881152	295.2622	+17.4760	 1.764	 	 	 	  7.38	G	 0.071	  64.802	  64.253	4990	 368.739	 25.699	 3.755	 3.865	 2.20	 0.00	      	      	     	      	      	Simbad
HIP96895 	HD186408	*  16 Cyg A  	2135550755683405952	295.4540	+50.5251	 0.539	 	 	 	 47.32	G	 0.016	  11.313	  11.321	5849	   1.580	  1.225	 1.019	 1.048	 4.28	 0.08	103.40	2188.5	 4.28	 1.193	 1.076	Simbad
HIP96901 	HD186427	*  16 Cyg B  	2135550755683407232	295.4666	+50.5175	 0.490	 	 	 	 47.35	G	 0.016	   9.089	   9.091	5807	   1.267	  1.113	 0.990	 1.030	 4.35	 0.07	116.70	2561.3	 4.35	 1.092	 1.028	Simbad
HIP97527 	HD187637	             	2076894387328378240	297.3256	+41.5825	 0.231	 	 	 	 19.05	G	 0.030	   2.670	   2.688	6236	   2.315	  1.304	 1.125	 1.124	 4.26	-0.09	105.70	2364.2	 4.33	 1.273	 1.356	Simbad
HIP98036 	HD188512	* bet Aql    	4296708789290712064	298.8283	+06.4068	 2.133	 	 	 	 73.52	G	 0.000	 102.480	 101.653	5090	   5.878	  3.119	 1.264	 1.828	 3.63	-0.15	 26.00	 410.0	 3.53	 3.317	 1.041	Simbad
HIP98269 	HD189349	             	2075067858006232320	299.5099	+40.9268	 0.417	 	 	 	  5.02	G	 0.087	   4.079	   4.153	5175	  51.513	  8.931	 0.723	 0.716	 2.39	-0.59	  4.24	  29.3	 2.38	 8.932	 0.702	Simbad
HIP98337 	HD189319	* gam Sge    	1823067317695766784	299.6893	+19.4921	 6.089	 	1	1	 11.34	G	 0.048	 286.843	 286.721	3904	 696.903	 57.731	 1.165	 1.700	 1.06	-0.26	      	      	     	      	      	Simbad
HIP98624 	HD188887	* mu.02 Pav  	6427311635257037056	300.4686	-66.9440	 1.595	 	 	 	 13.60	G	 0.023	  31.193	  31.210	4381	  52.742	 12.609	 1.031	 1.635	 2.35	 0.11	      	      	     	      	      	Simbad
HIP98767 	HD190360	             	2029433521248546304	300.9059	+29.8968	 0.698	 	 	 	 62.49	G	 0.009	  14.510	  14.449	5463	   1.156	  1.201	 0.951	 0.975	 4.26	 0.22	      	      	     	      	      	Simbad
HIP98819 	HD190406	*  15 Sge    	1821708351374312064	301.0259	+17.0702	 0.584	 	 	 	 56.27	G	 0.010	  13.123	  13.073	5825	   1.290	  1.116	 0.991	 1.028	 4.35	 0.05	      	      	     	      	      	Simbad
HIP99663 	HD192781	             	2237040042612803328	303.3651	+60.6406	 1.859	 	 	 	  5.38	G	 0.053	  31.884	  32.023	4084	 345.809	 37.151	 1.081	 1.478	 1.40	-0.24	      	      	     	      	      	Simbad

